"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"663","8. Population living in households with an improved drinking-water source1 (%)",99,97.8,98.5,96.7,"Goa","","","",""
"664","9. Population living in households that use an improved sanitation facility2 (%)",89,86.4,87.9,78.7,"Goa","","","",""
"665","10. Households using clean fuel for cooking3 (%)",98.8,93.1,96.5,84.1,"Goa","","","",""
"666","11. Households using iodized salt (%)",97.7,97.4,97.6,95.7,"Goa","","","",""
"667","12. Households with any usual member covered under a health insurance/financing scheme (%)",65.1,67.5,66,15.9,"Goa","","","",""
"668","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",19.5,18.2,19,NA,"Goa","","Based on 25-49 unweighted cases","",""
"669","14. Women who are literate4 (%)",92.6,93.4,93,NA,"Goa","","","",""
"670","15. Men who are literate4 (%)",94.9,98.5,96.3,NA,"Goa","","","",""
"671","16. Women with 10 or more years of schooling (%)",73,69.3,71.5,58.2,"Goa","","","",""
"672","17. Men with 10 or more years of schooling (%)",75,79.4,76.6,63.6,"Goa","","","",""
"673","18. Women who have ever used the internet (%)",78.1,68.3,73.7,NA,"Goa","","","",""
"674","19. Men who have ever used the internet (%)",86.1,76.6,82.9,NA,"Goa","","","",""
"675","20. Women age 20-24 years married before age 18 years (%)",7.7,3.2,5.8,9.8,"Goa","","","",""
"676","21. Men age 25-29 years married before age 21 years (%)",12.1,NA,8.9,8.4,"Goa","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"677","22. Total fertility rate (children per woman)",1.3,1.4,1.3,1.7,"Goa","","","",""
"678","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",2.8,2.7,2.8,2.9,"Goa","","","",""
"679","24. Adolescent fertility rate for women age 15-19 years5",17,11,14,16,"Goa","","","",""
"680","25. Neonatal mortality rate (NNMR)",NA,NA,5.6,12.9,"Goa","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"681","26. Infant mortality rate (IMR)",NA,NA,5.6,12.9,"Goa","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"682","27. Under-five mortality rate (U5MR)",NA,NA,10.6,12.9,"Goa","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"683","28. Any method6 (%)",72.3,61.1,67.9,26.3,"Goa","","","",""
"684","29. Any modern method6 (%)",65,52.4,60.1,24.8,"Goa","","","",""
"685","30. Female sterilization (%)",33.2,24.9,29.9,16.3,"Goa","","","",""
"686","31. Male sterilization (%)",0,0,0,0,"Goa","","","",""
"687","32. IUD/PPIUD (%)",2.5,2.2,2.4,0.9,"Goa","","","",""
"688","33. Pill (%)",3.4,1.7,2.7,0.3,"Goa","","","",""
"689","34. Condom (%)",24.6,21.1,23.2,7.1,"Goa","","","",""
"690","35. Injectables (%)",0,0,0,0.1,"Goa","","","",""
"691","36. Total unmet need7 (%)",7.3,10.1,8.4,17.5,"Goa","","","",""
"692","37. Unmet need for spacing7 (%)",3.5,4.7,4,8.3,"Goa","","","",""
"693","38. Health worker ever talked to female non-users about family planning (%)",27.2,28.4,27.7,44.2,"Goa","","","",""
"694","39. Current users ever told about side effects of current method8 (%)",86.4,83.1,85.5,76,"Goa","","Based on 25-49 unweighted cases","","Based on 25-49 unweighted cases"
"695","40. Mothers who had an antenatal check-up in the first trimester (%)",66.5,76.2,70.3,84.4,"Goa","","","",""
"696","41. Mothers who had at least 4 antenatal care visits (%)",92.9,93.1,93,89,"Goa","","","",""
"697","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",98,94.2,96.5,96.2,"Goa","","","",""
"698","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",87,88.2,87.5,67.4,"Goa","","","",""
"699","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",61.4,70.5,65,52.8,"Goa","","","",""
"700","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",99.7,100,99.8,96.3,"Goa","","","",""
"701","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",96.5,93.7,95.4,92.1,"Goa","","","",""
"702","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3875,3706,3804,5012,"Goa","","","",""
"703","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,NA,NA,"Goa","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"704","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",97.4,95.7,96.7,NA,"Goa","","","",""
"705","50. Institutional births (%)",99.6,100,99.7,96.9,"Goa","","","",""
"706","51. Institutional births in public facility (%)",53.1,61.1,56.2,58.2,"Goa","","","",""
"707","52. Home births that were conducted by skilled health personnel10 (%)",0,0,0,1.8,"Goa","","","",""
"708","53. Births attended by skilled health personnel10 (%)",98.6,100,99.1,97.5,"Goa","","","",""
"709","54. Births delivered by caesarean section (%)",39.1,40.1,39.5,31.4,"Goa","","","",""
"710","55. Births in a private health facility that were delivered by caesarean section (%)",46.6,56.6,50,51.3,"Goa","","","",""
"711","56. Births in a public health facility that were delivered by caesarean section (%)",32.9,29.6,31.5,19.9,"Goa","","","",""
"712","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",77.9,88.1,81.9,88.4,"Goa","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"713","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",87.7,NA,91,95.8,"Goa","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","",""
"714","59. Children age 12-23 months who have received BCG (%)",96.5,100,97.9,100,"Goa","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"715","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",83.8,95.1,88.4,92.9,"Goa","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"716","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",89.3,92.9,90.8,94.2,"Goa","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"717","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",92.9,92.9,92.9,96.5,"Goa","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"718","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",23.2,19.5,21.7,NA,"Goa","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"719","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",2.3,12.3,6.3,NA,"Goa","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"720","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",95.2,89.2,92.8,85.2,"Goa","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"721","66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",94.4,88.1,91.9,91.8,"Goa","","","",""
"722","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",90.8,95.6,92.7,77.2,"Goa","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"723","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",9.2,4.5,7.3,22.8,"Goa","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"724","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",2.1,5,3.2,3.8,"Goa","","","",""
"725","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,NA,NA,"Goa","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"726","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,NA,NA,"Goa","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"727","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,NA,NA,"Goa","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"728","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",0,2.4,0.9,1.4,"Goa","","","",""
"729","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",82.2,NA,86.6,89,"Goa","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","",""
"730","75. Children under age 3 years breastfed within one hour of birth15 (%)",60.7,62.9,61.6,73.3,"Goa","","","",""
"731","76. Children under age 6 months exclusively breastfed16 (%)",NA,NA,61.4,60.9,"Goa","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"732","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,NA,NA,"Goa","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"733","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",18.9,21.8,20.2,9.1,"Goa","","Based on 25-49 unweighted cases","",""
"734","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,NA,15.1,"Goa","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases"
"735","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",21.1,22.2,21.5,10.4,"Goa","","Based on 25-49 unweighted cases","",""
"736","81. Children under 5 years who are stunted (height-for-age)18 (%)",24.3,28.2,25.8,20.1,"Goa","","","",""
"737","82. Children under 5 years who are wasted (weight-for-height)18 (%)",17.7,21.5,19.1,21.9,"Goa","","","",""
"738","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",6.4,9.4,7.5,9.5,"Goa","","","",""
"739","84. Children under 5 years who are underweight (weight-for-age)18 (%)",22.5,26.6,24,23.8,"Goa","","","",""
"740","85. Children under 5 years who are overweight (weight-for-height)20 (%)",2.2,3.6,2.8,3.7,"Goa","","","",""
"741","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",13.1,15,13.8,14.7,"Goa","","","",""
"742","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",9.3,18.4,12.5,10.8,"Goa","","","",""
"743","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",38.1,33.1,36.1,33.5,"Goa","","","",""
"744","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",32.5,32.8,32.6,32.6,"Goa","","","",""
"745","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",51.1,51,51.1,NA,"Goa","","","",""
"746","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",34.2,37.8,35.4,NA,"Goa","","","",""
"747","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",53.3,53.1,53.2,48.3,"Goa","","","",""
"748","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",39.9,37.5,38.9,31.4,"Goa","","","",""
"749","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",46.1,NA,41,26.7,"Goa","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"750","95. All women age 15-49 years who are anaemic22 (%)",40,37.4,39,31.3,"Goa","","","",""
"751","96. All women age 15-19 years who are anaemic22 (%)",43.5,45.7,44.5,30.5,"Goa","","","",""
"752","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",13.3,9.5,12,11,"Goa","","","",""
"753","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",11.9,NA,15.8,6.6,"Goa","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"754","99. Blood sugar level - high (141-160 mg/dl)23 (%)",8.2,9.1,8.6,NA,"Goa","","","",""
"755","100. Blood sugar level - very high (>160 mg/dl)23 (%)",9.7,9.5,9.6,NA,"Goa","","","",""
"756","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",20.6,21.1,20.8,NA,"Goa","","","",""
"757","102. Blood sugar level - high (141-160 mg/dl)23 (%)",10.3,10.3,10.3,NA,"Goa","","","",""
"758","103. Blood sugar level - very high (>160 mg/dl)23 (%)",10.8,12.9,11.6,NA,"Goa","","","",""
"759","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",23,25.9,24.1,NA,"Goa","","","",""
"760","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",12.6,11.5,12.1,NA,"Goa","","","",""
"761","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",3.5,3.8,3.6,NA,"Goa","","","",""
"762","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",27.6,27.4,27.5,NA,"Goa","","","",""
"763","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",14.4,15.5,14.8,NA,"Goa","","","",""
"764","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",4.7,4.7,4.7,NA,"Goa","","","",""
"765","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",25.9,28.2,26.8,NA,"Goa","","","",""
"766","111. Ever undergone a screening test for cervical cancer (%)",1.6,0.6,1.2,NA,"Goa","","","",""
"767","112. Ever undergone a breast examination for breast cancer (%)",1.3,1.2,1.3,NA,"Goa","","","",""
"768","113. Ever undergone an oral cavity examination for oral cancer (%)",0.8,0.4,0.6,NA,"Goa","","","",""
"769","114. Ever undergone an oral cavity examination for oral cancer (%)",0.6,2.1,1.1,NA,"Goa","","","",""
"770","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",47.7,50.6,49,34.6,"Goa","","","",""
"771","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",62.8,74.7,67.2,41.9,"Goa","","","",""
"772","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",89.4,90.8,90.1,77.4,"Goa","","","",""
"773","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",98,97.5,97.8,89.2,"Goa","","","",""
"774","119. Currently married women who usually participate in three household decisions25 (%)",89.3,98.6,93.1,93.8,"Goa","","","",""
"775","120. Women who worked in the last 12 months and were paid in cash (%)",35.2,27.9,31.9,23.6,"Goa","","","",""
"776","121. Women owning a house and/or land (alone or jointly with others) (%)",22.4,24.1,23.2,33.9,"Goa","","","",""
"777","122. Women having a bank or savings account that they themselves use (%)",85.1,92.4,88.3,82.8,"Goa","","","",""
"778","123. Women having a mobile phone that they themselves use (%)",94.5,87.1,91.2,80.9,"Goa","","","",""
"779","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",96.2,97.6,96.8,89.3,"Goa","","","",""
"780","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",6,11.4,8.3,12.9,"Goa","","","",""
"781","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0.9,2.7,1.6,1.6,"Goa","","","",""
"782","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",1.6,8.8,4.6,1.3,"Goa","","","",""
"783","128. Women age 15 years and above who use any kind of tobacco (%)",2.4,2.8,2.6,NA,"Goa","","","",""
"784","129. Men age 15 years and above who use any kind of tobacco (%)",19.5,16.3,18.2,NA,"Goa","","","",""
"785","130. Women age 15 years and above who consume alcohol (%)",5.6,5.3,5.5,NA,"Goa","","","",""
"786","131. Men age 15 years and above who consume alcohol (%)",38.2,34.9,36.9,NA,"Goa","","","",""
"787","1. Female population age 6 years and above who ever attended school (%)",83.7,65.4,72.9,72,"Gujarat","","","",""
"788","2. Population below age 15 years (%)",22.2,25.3,24,26,"Gujarat","","","",""
"789","3. Sex ratio of the total population (females per 1,000 males)",929,991,965,950,"Gujarat","","","",""
"790","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",931,969,955,906,"Gujarat","","","",""
"791","5. Children under age 5 years whose birth was registered with the civil authority (%)",98.7,96.7,97.5,95.8,"Gujarat","","","",""
"792","6. Deaths in the last 3 years registered with the civil authority (%)",95.7,91.6,93,NA,"Gujarat","","","",""
"793","7. Population living in households with electricity (%)",99.4,96.2,97.6,96.2,"Gujarat","","","",""
"794","8. Population living in households with an improved drinking-water source1 (%)",99.4,95.7,97.2,95.9,"Gujarat","","","",""
"795","9. Population living in households that use an improved sanitation facility2 (%)",89.3,63.3,74,63.6,"Gujarat","","","",""
"796","10. Households using clean fuel for cooking3 (%)",94.3,46.1,66.9,52.6,"Gujarat","","","",""
"797","11. Households using iodized salt (%)",97.4,94.3,95.6,95.5,"Gujarat","","","",""
"798","12. Households with any usual member covered under a health insurance/financing scheme (%)",36.3,41.1,39,23.1,"Gujarat","","","",""
"799","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",8.7,5.8,6.9,NA,"Gujarat","","","",""
"800","14. Women who are literate4 (%)",86.8,69,76.5,NA,"Gujarat","","","",""
"801","15. Men who are literate4 (%)",95.4,87.5,90.9,NA,"Gujarat","","","",""
"802","16. Women with 10 or more years of schooling (%)",47.9,23.6,33.8,33,"Gujarat","","","",""
"803","17. Men with 10 or more years of schooling (%)",56.9,36.9,45.6,43,"Gujarat","","","",""
"804","18. Women who have ever used the internet (%)",48.9,17.5,30.8,NA,"Gujarat","","","",""
"805","19. Men who have ever used the internet (%)",72.9,48,58.9,NA,"Gujarat","","","",""
"806","20. Women age 20-24 years married before age 18 years (%)",14.2,26.9,21.8,24.9,"Gujarat","","","",""
"807","21. Men age 25-29 years married before age 21 years (%)",18.7,33.9,27.7,28.4,"Gujarat","","","",""
"808","22. Total fertility rate (children per woman)",1.7,2,1.9,2,"Gujarat","","","",""
"809","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",2.6,6.7,5.2,6.5,"Gujarat","","","",""
"810","24. Adolescent fertility rate for women age 15-19 years5",24,40,34,41,"Gujarat","","","",""
"811","25. Neonatal mortality rate (NNMR)",16.8,24.8,21.8,26.8,"Gujarat","","","",""
"812","26. Infant mortality rate (IMR)",24.1,35.5,31.2,34.2,"Gujarat","","","",""
"813","27. Under-five mortality rate (U5MR)",26.7,44.2,37.6,43.5,"Gujarat","","","",""
"814","28. Any method6 (%)",69.5,62.2,65.3,46.9,"Gujarat","","","",""
"815","29. Any modern method6 (%)",54,53.3,53.6,43.1,"Gujarat","","","",""
"816","30. Female sterilization (%)",29.1,40.8,35.9,33.6,"Gujarat","","","",""
"817","31. Male sterilization (%)",0.1,0.2,0.2,0.1,"Gujarat","","","",""
"818","32. IUD/PPIUD (%)",4.2,2.4,3.1,3,"Gujarat","","","",""
"819","33. Pill (%)",3.1,1.8,2.3,1.4,"Gujarat","","","",""
"820","34. Condom (%)",16.8,7.5,11.4,4.9,"Gujarat","","","",""
"821","35. Injectables (%)",0.1,0.1,0.1,0,"Gujarat","","","",""
"822","36. Total unmet need7 (%)",9.7,10.8,10.3,17,"Gujarat","","","",""
"823","37. Unmet need for spacing7 (%)",4,4.8,4.5,6.7,"Gujarat","","","",""
"824","38. Health worker ever talked to female non-users about family planning (%)",31.5,28.8,29.8,18.9,"Gujarat","","","",""
"825","39. Current users ever told about side effects of current method8 (%)",78.1,71.8,74.1,47,"Gujarat","","","",""
"826","40. Mothers who had an antenatal check-up in the first trimester (%)",83.7,76.4,79.3,73.8,"Gujarat","","","",""
"827","41. Mothers who had at least 4 antenatal care visits (%)",82.4,73.3,76.9,70.5,"Gujarat","","","",""
"828","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",91.4,87.6,89.1,86.6,"Gujarat","","","",""
"829","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",62,58.7,60,36.8,"Gujarat","","","",""
"830","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",45.5,41.8,43.2,18.5,"Gujarat","","","",""
"831","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",96.7,98.3,97.7,89,"Gujarat","","","",""
"832","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",93.1,87.5,89.7,63.3,"Gujarat","","","",""
"833","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",2027,1535,1697,2136,"Gujarat","","","",""
"834","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",2.4,7.7,6.9,3.7,"Gujarat","Based on 25-49 unweighted cases","","",""
"835","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",91.8,86.6,88.7,NA,"Gujarat","","","",""
"836","50. Institutional births (%)",97.8,92.2,94.3,88.5,"Gujarat","","","",""
"837","51. Institutional births in public facility (%)",36.6,47.3,43.3,32.6,"Gujarat","","","",""
"838","52. Home births that were conducted by skilled health personnel10 (%)",1.1,1.9,1.6,2.2,"Gujarat","","","",""
"839","53. Births attended by skilled health personnel10 (%)",96.8,91.1,93.2,87.1,"Gujarat","","","",""
"840","54. Births delivered by caesarean section (%)",30.7,15.3,21,18.4,"Gujarat","","","",""
"841","55. Births in a private health facility that were delivered by caesarean section (%)",38,25,30.8,26.6,"Gujarat","","","",""
"842","56. Births in a public health facility that were delivered by caesarean section (%)",20.3,8.8,12.4,10.8,"Gujarat","","","",""
"843","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",77,75.9,76.3,50.4,"Gujarat","","","",""
"844","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",82.9,86.2,85,78.9,"Gujarat","","","",""
"845","59. Children age 12-23 months who have received BCG (%)",95.6,94.2,94.7,87.9,"Gujarat","","","",""
"846","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",79.7,79.5,79.6,62.3,"Gujarat","","","",""
"847","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",85.2,86.6,86.1,72.7,"Gujarat","","","",""
"848","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",88.5,85.8,86.8,75,"Gujarat","","","",""
"849","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",24.3,29,27.3,NA,"Gujarat","","","",""
"850","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",2.9,1.8,2.2,NA,"Gujarat","","","",""
"851","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",85,84.9,84.9,38.6,"Gujarat","","","",""
"852","66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",86.8,84.8,85.6,74.7,"Gujarat","","","",""
"853","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",83.4,97.4,92.1,87.1,"Gujarat","","","",""
"854","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",16.4,2.3,7.6,12.6,"Gujarat","","","",""
"855","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",5.7,9.7,8.2,8.4,"Gujarat","","","",""
"856","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",69.8,65.4,66.5,46.2,"Gujarat","","","",""
"857","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",31.7,36.8,35.4,17.4,"Gujarat","","","",""
"858","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",70.5,69.3,69.6,65.4,"Gujarat","","","",""
"859","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",0.9,1.1,1,1.4,"Gujarat","","","",""
"860","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",76,74.8,75.2,70.2,"Gujarat","","","",""
"861","75. Children under age 3 years breastfed within one hour of birth15 (%)",34.4,39.9,37.8,49.9,"Gujarat","","","",""
"862","76. Children under age 6 months exclusively breastfed16 (%)",70.3,62.4,65,55.8,"Gujarat","","","",""
"863","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",40.8,42.6,42,49.4,"Gujarat","","","",""
"864","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",6.5,5.6,5.9,5.8,"Gujarat","","","",""
"865","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",7.2,5.1,6,2.8,"Gujarat","","","",""
"866","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",6.6,5.5,5.9,5.2,"Gujarat","","","",""
"867","81. Children under 5 years who are stunted (height-for-age)18 (%)",32.4,43,39,38.5,"Gujarat","","","",""
"868","82. Children under 5 years who are wasted (weight-for-height)18 (%)",22.4,26.7,25.1,26.4,"Gujarat","","","",""
"869","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",9.7,11.1,10.6,9.5,"Gujarat","","","",""
"870","84. Children under 5 years who are underweight (weight-for-age)18 (%)",33.3,43.5,39.7,39.3,"Gujarat","","","",""
"871","85. Children under 5 years who are overweight (weight-for-height)20 (%)",4.6,3.5,3.9,1.9,"Gujarat","","","",""
"872","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",17.2,30.9,25.2,27.2,"Gujarat","","","",""
"873","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",16,24.7,20.9,24.7,"Gujarat","","","",""
"874","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",30.4,17,22.6,23.7,"Gujarat","","","",""
"875","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",25.6,15.6,19.9,19.7,"Gujarat","","","",""
"876","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",47.2,41.2,43.7,NA,"Gujarat","","","",""
"877","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",43.3,39,40.9,NA,"Gujarat","","","",""
"878","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",77.6,81.2,79.7,62.6,"Gujarat","","","",""
"879","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",61.4,67.7,65.1,55.1,"Gujarat","","","",""
"880","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",55.6,66.4,62.6,51.3,"Gujarat","","","",""
"881","95. All women age 15-49 years who are anaemic22 (%)",61.3,67.6,65,54.9,"Gujarat","","","",""
"882","96. All women age 15-19 years who are anaemic22 (%)",63,72.3,69,56.5,"Gujarat","","","",""
"883","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",23.3,29.1,26.6,21.6,"Gujarat","","","",""
