"Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"2. Population below age 15 years (%)",20.7,22,21.8,24.6,"Himachal Pradesh",NA,NA,NA,NA
"3. Sex ratio of the total population (females per 1,000 males)",936,1057,1040,1078,"Himachal Pradesh",NA,NA,NA,NA
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",843,880,875,937,"Himachal Pradesh",NA,NA,NA,NA
"5. Children under age 5 years whose birth was registered with the civil authority (%)",97.9,97.9,97.9,95.3,"Himachal Pradesh",NA,NA,NA,NA
"6. Deaths in the last 3 years registered with the civil authority (%)",95.8,93.7,94,NA,"Himachal Pradesh",NA,NA,NA,NA
"7. Population living in households with electricity (%)",99,99.5,99.5,99.5,"Himachal Pradesh",NA,NA,NA,NA
"8. Population living in households with an improved drinking-water source1 (%)",98.4,95.9,96.2,94.9,"Himachal Pradesh",NA,NA,NA,NA
"9. Population living in households that use an improved sanitation facility2 (%)",85,81.3,81.8,72.3,"Himachal Pradesh",NA,NA,NA,NA
"10. Households using clean fuel for cooking3 (%)",94.7,44.5,51.7,36.7,"Himachal Pradesh",NA,NA,NA,NA
"11. Households using iodized salt (%)",99,99.1,99.1,99.1,"Himachal Pradesh",NA,NA,NA,NA
"12. Households with any usual member covered under a health insurance/financing scheme (%)",37.1,34.1,34.5,25.8,"Himachal Pradesh",NA,NA,NA,NA
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",12.3,3.4,4.6,NA,"Himachal Pradesh",NA,NA,NA,NA
"14. Women who are literate4 (%)",95,91.2,91.7,NA,"Himachal Pradesh",NA,NA,NA,NA
"15. Men who are literate4 (%)",91.7,95.4,94.9,NA,"Himachal Pradesh",NA,NA,NA,NA
"16. Women with 10 or more years of schooling (%)",79.8,63.8,65.9,59.4,"Himachal Pradesh",NA,NA,NA,NA
"17. Men with 10 or more years of schooling (%)",78.7,70.1,71.3,71.2,"Himachal Pradesh",NA,NA,NA,NA
"18. Women who have ever used the internet (%)",78.9,45.2,49.7,NA,"Himachal Pradesh",NA,NA,NA,NA
"19. Men who have ever used the internet (%)",83.7,65.1,67.9,NA,"Himachal Pradesh",NA,NA,NA,NA
"20. Women age 20-24 years married before age 18 years (%)",7.2,5.1,5.4,8.6,"Himachal Pradesh",NA,NA,NA,NA
"21. Men age 25-29 years married before age 21 years (%)",NA,4.1,4.6,7.3,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"22. Total fertility rate (children per woman)",1.4,1.7,1.7,1.9,"Himachal Pradesh",NA,NA,NA,NA
"23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",4.5,3.3,3.4,2.6,"Himachal Pradesh",NA,NA,NA,NA
"24. Adolescent fertility rate for women age 15-19 years5",21,22,22,25,"Himachal Pradesh",NA,NA,NA,NA
"25. Neonatal mortality rate (NNMR)",NA,21.3,20.5,25.5,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"26. Infant mortality rate (IMR)",NA,27.1,25.6,34.3,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"27. Under-five mortality rate (U5MR)",NA,30.9,28.9,37.6,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"28. Any method6 (%)",75.2,74.1,74.2,57,"Himachal Pradesh",NA,NA,NA,NA
"29. Any modern method6 (%)",59.3,64,63.4,52.1,"Himachal Pradesh",NA,NA,NA,NA
"30. Female sterilization (%)",21.7,40.2,37.7,34.5,"Himachal Pradesh",NA,NA,NA,NA
"31. Male sterilization (%)",2.5,3.5,3.3,2.4,"Himachal Pradesh",NA,NA,NA,NA
"32. IUD/PPIUD (%)",0.9,1.2,1.1,0.9,"Himachal Pradesh",NA,NA,NA,NA
"33. Pill (%)",2,1.4,1.5,1.5,"Himachal Pradesh",NA,NA,NA,NA
"34. Condom (%)",31.9,17.3,19.2,12.7,"Himachal Pradesh",NA,NA,NA,NA
"35. Injectables (%)",0,0.1,0.1,0.1,"Himachal Pradesh",NA,NA,NA,NA
"36. Total unmet need7 (%)",9.3,7.7,7.9,15.7,"Himachal Pradesh",NA,NA,NA,NA
"37. Unmet need for spacing7 (%)",3.7,2.6,2.8,4.8,"Himachal Pradesh",NA,NA,NA,NA
"38. Health worker ever talked to female non-users about family planning (%)",17.3,19.5,19.3,15.8,"Himachal Pradesh",NA,NA,NA,NA
"39. Current users ever told about side effects of current method8 (%)",67.2,57.1,58.1,40.1,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"40. Mothers who had an antenatal check-up in the first trimester (%)",81.6,71.2,72.4,70.5,"Himachal Pradesh",NA,NA,NA,NA
"41. Mothers who had at least 4 antenatal care visits (%)",77.3,69.3,70.3,69.1,"Himachal Pradesh",NA,NA,NA,NA
"42. Mothers whose last birth was protected against neonatal tetanus9 (%)",86.7,90.5,90,86.2,"Himachal Pradesh",NA,NA,NA,NA
"43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",72.9,66.4,67.2,49.4,"Himachal Pradesh",NA,NA,NA,NA
"44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",44.4,42.8,43,22.7,"Himachal Pradesh",NA,NA,NA,NA
"45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",97.8,98.8,98.7,95.4,"Himachal Pradesh",NA,NA,NA,NA
"46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",88.8,86,86.3,70.2,"Himachal Pradesh",NA,NA,NA,NA
"47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",9411,3138,3760,3329,"Himachal Pradesh",NA,NA,NA,NA
"48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,8.2,7.6,1.5,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",89.5,85.5,86,NA,"Himachal Pradesh",NA,NA,NA,NA
"50. Institutional births (%)",93.1,87.6,88.2,76.4,"Himachal Pradesh",NA,NA,NA,NA
"51. Institutional births in public facility (%)",64.2,72.7,71.7,61.6,"Himachal Pradesh",NA,NA,NA,NA
"52. Home births that were conducted by skilled health personnel10 (%)",0.8,1.8,1.7,3.4,"Himachal Pradesh",NA,NA,NA,NA
"53. Births attended by skilled health personnel10 (%)",90.3,86.6,87.1,78.9,"Himachal Pradesh",NA,NA,NA,NA
"54. Births delivered by caesarean section (%)",26.2,20.3,21,16.7,"Himachal Pradesh",NA,NA,NA,NA
"55. Births in a private health facility that were delivered by caesarean section (%)",46.7,52.6,51.4,44.4,"Himachal Pradesh",NA,NA,NA,NA
"56. Births in a public health facility that were delivered by caesarean section (%)",19.8,17.2,17.4,16.4,"Himachal Pradesh",NA,NA,NA,NA
"57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",94.1,88.5,89.3,69.5,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",100,95.8,96.4,85.4,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"59. Children age 12-23 months who have received BCG (%)",97.7,98.2,98.2,94.8,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",95.4,89.3,90.1,82.4,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",94.1,96.4,96.1,85,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",96.4,95.9,95.9,87.5,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",30.6,44.2,42.4,NA,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",73.4,90,87.9,NA,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",94.1,96.6,96.3,74.1,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",71.6,78.1,77.3,72.1,"Himachal Pradesh",NA,NA,NA,NA
"67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",93.6,98.1,97.5,97.9,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",5.1,1.3,1.8,1.9,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",3.6,4.9,4.7,6.6,"Himachal Pradesh",NA,NA,NA,NA
"70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,74.6,73.7,62.7,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,19.8,19.5,15,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,69.5,67.9,67.7,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",4,1.1,1.5,1.6,"Himachal Pradesh",NA,NA,NA,NA
"74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",67.3,77.9,76.2,78.4,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"75. Children under age 3 years breastfed within one hour of birth15 (%)",43.8,45.3,45.1,41.1,"Himachal Pradesh",NA,NA,NA,NA
"76. Children under age 6 months exclusively breastfed16 (%)",NA,71.3,69.9,67.2,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,69.5,68.3,52.9,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",15.1,18.5,18,11.2,"Himachal Pradesh","Based on 25-49 unweighted cases",NA,NA,NA
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,23.2,21.6,10,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",14.4,19.7,19,10.9,"Himachal Pradesh",NA,NA,NA,NA
"81. Children under 5 years who are stunted (height-for-age)18 (%)",27,31.3,30.8,26.3,"Himachal Pradesh",NA,NA,NA,NA
"82. Children under 5 years who are wasted (weight-for-height)18 (%)",16.2,17.6,17.4,13.7,"Himachal Pradesh",NA,NA,NA,NA
"83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",6.3,7,6.9,3.9,"Himachal Pradesh",NA,NA,NA,NA
"84. Children under 5 years who are underweight (weight-for-age)18 (%)",24.6,25.6,25.5,21.2,"Himachal Pradesh",NA,NA,NA,NA
"85. Children under 5 years who are overweight (weight-for-height)20 (%)",5.4,5.7,5.7,1.9,"Himachal Pradesh",NA,NA,NA,NA
"86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",9.8,14.5,13.9,16.2,"Himachal Pradesh",NA,NA,NA,NA
"87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",6.6,12.7,11.8,18,"Himachal Pradesh",NA,NA,NA,NA
"88. Women who are overweight or obese (BMI =25.0 kg/m2)21 (%)",38.3,29.2,30.4,28.6,"Himachal Pradesh",NA,NA,NA,NA
"89. Men who are overweight or obese (BMI =25.0 kg/m2) (%)",35.7,29.8,30.6,22,"Himachal Pradesh",NA,NA,NA,NA
"90. Women who have high risk waist-to-hip ratio (=0.85) (%)",60.3,62.1,61.9,NA,"Himachal Pradesh",NA,NA,NA,NA
"91. Men who have high risk waist-to-hip ratio (=0.90) (%)",61.2,50.8,52.3,NA,"Himachal Pradesh",NA,NA,NA,NA
"92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",58.2,55,55.4,53.7,"Himachal Pradesh",NA,NA,NA,NA
"93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",51.6,53.6,53.4,53.6,"Himachal Pradesh",NA,NA,NA,NA
"94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",NA,43.9,42.2,50.4,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"95. All women age 15-49 years who are anaemic22 (%)",51,53.3,53,53.5,"Himachal Pradesh",NA,NA,NA,NA
"96. All women age 15-19 years who are anaemic22 (%)",59.8,52.3,53.2,52.7,"Himachal Pradesh",NA,NA,NA,NA
"97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",8.6,20.3,18.6,20.1,"Himachal Pradesh",NA,NA,NA,NA
"98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",NA,22.4,22.1,25,"Himachal Pradesh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"99. Blood sugar level - high (141-160 mg/dl)23 (%)",6.8,6.3,6.4,NA,"Himachal Pradesh",NA,NA,NA,NA
"100. Blood sugar level - very high (>160 mg/dl)23 (%)",7.1,6.3,6.4,NA,"Himachal Pradesh",NA,NA,NA,NA
"101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",15.4,13.7,13.9,NA,"Himachal Pradesh",NA,NA,NA,NA
"102. Blood sugar level - high (141-160 mg/dl)23 (%)",7.9,6.6,6.8,NA,"Himachal Pradesh",NA,NA,NA,NA
"103. Blood sugar level - very high (>160 mg/dl)23 (%)",7.7,6.5,6.7,NA,"Himachal Pradesh",NA,NA,NA,NA
"104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",18.3,14.2,14.7,NA,"Himachal Pradesh",NA,NA,NA,NA
"105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",9.5,12.2,11.9,NA,"Himachal Pradesh",NA,NA,NA,NA
"106. Moderately or severely elevated blood pressure (Systolic =160 mm of Hg and/or Diastolic =100 mm of Hg) (%)",4.9,5.1,5.1,NA,"Himachal Pradesh",NA,NA,NA,NA
"107. Elevated blood pressure (Systolic =140 mm of Hg and/or Diastolic =90 mm of Hg) or taking medicine to control blood pressure (%)",22.1,22.2,22.2,NA,"Himachal Pradesh",NA,NA,NA,NA
"108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",18,16.2,16.5,NA,"Himachal Pradesh",NA,NA,NA,NA
"109. Moderately or severely elevated blood pressure (Systolic =160 mm of Hg and/or Diastolic =100 mm of Hg) (%)",6,4.7,4.9,NA,"Himachal Pradesh",NA,NA,NA,NA
"110. Elevated blood pressure (Systolic =140 mm of Hg and/or Diastolic =90 mm of Hg) or taking medicine to control blood pressure (%)",29.1,23.6,24.4,NA,"Himachal Pradesh",NA,NA,NA,NA
"111. Ever undergone a screening test for cervical cancer (%)",3.4,0.5,0.9,NA,"Himachal Pradesh",NA,NA,NA,NA
"112. Ever undergone a breast examination for breast cancer (%)",1.5,0.3,0.4,NA,"Himachal Pradesh",NA,NA,NA,NA
"113. Ever undergone an oral cavity examination for oral cancer (%)",0,0.3,0.3,NA,"Himachal Pradesh",NA,NA,NA,NA
"114. Ever undergone an oral cavity examination for oral cancer (%)",2.6,0.8,1.1,NA,"Himachal Pradesh",NA,NA,NA,NA
"115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",46.1,34.7,36.2,30.9,"Himachal Pradesh",NA,NA,NA,NA
"116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",46.9,39.8,40.8,44.5,"Himachal Pradesh",NA,NA,NA,NA
"117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",92.7,74.1,76.6,68.6,"Himachal Pradesh",NA,NA,NA,NA
"118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",90.4,84.6,85.5,89,"Himachal Pradesh",NA,NA,NA,NA
"119. Currently married women who usually participate in three household decisions25 (%)",93.8,93.9,93.9,90.8,"Himachal Pradesh",NA,NA,NA,NA
"120. Women who worked in the last 12 months and were paid in cash (%)",36.3,17.7,20.2,17,"Himachal Pradesh",NA,NA,NA,NA
"121. Women owning a house and/or land (alone or jointly with others) (%)",21.1,23.4,23.1,11.3,"Himachal Pradesh",NA,NA,NA,NA
"122. Women having a bank or savings account that they themselves use (%)",88.8,82.2,83.1,68.8,"Himachal Pradesh",NA,NA,NA,NA
"123. Women having a mobile phone that they themselves use (%)",90.9,77.8,79.5,73.9,"Himachal Pradesh",NA,NA,NA,NA
"124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",96.3,90.8,91.5,84.3,"Himachal Pradesh",NA,NA,NA,NA
"125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",6,8.7,8.3,5.9,"Himachal Pradesh",NA,NA,NA,NA
"126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0,0.7,0.6,1.5,"Himachal Pradesh",NA,NA,NA,NA
"127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",0,2.8,2.5,2.8,"Himachal Pradesh",NA,NA,NA,NA
"128. Women age 15 years and above who use any kind of tobacco (%)",1.2,1.7,1.7,NA,"Himachal Pradesh",NA,NA,NA,NA
"129. Men age 15 years and above who use any kind of tobacco (%)",25.4,33.4,32.3,NA,"Himachal Pradesh",NA,NA,NA,NA
"130. Women age 15 years and above who consume alcohol (%)",0.3,0.7,0.6,NA,"Himachal Pradesh",NA,NA,NA,NA
"131. Men age 15 years and above who consume alcohol (%)",30.4,32.1,31.9,NA,"Himachal Pradesh",NA,NA,NA,NA
"1. Female population age 6 years and above who ever attended school (%)",76,67.9,70.1,65.7,"Jammu & Kashmir",NA,NA,NA,NA
"2. Population below age 15 years (%)",21.1,25.2,24.1,27.4,"Jammu & Kashmir",NA,NA,NA,NA
"3. Sex ratio of the total population (females per 1,000 males)",961,944,948,971,"Jammu & Kashmir",NA,NA,NA,NA
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",978,976,976,923,"Jammu & Kashmir",NA,NA,NA,NA
"5. Children under age 5 years whose birth was registered with the civil authority (%)",97.8,94.6,95.3,77.4,"Jammu & Kashmir",NA,NA,NA,NA
"6. Deaths in the last 3 years registered with the civil authority (%)",83.4,73.9,76.2,NA,"Jammu & Kashmir",NA,NA,NA,NA
"7. Population living in households with electricity (%)",99.9,99,99.3,97.2,"Jammu & Kashmir",NA,NA,NA,NA
"8. Population living in households with an improved drinking-water source1 (%)",98.3,89.6,91.9,89.1,"Jammu & Kashmir",NA,NA,NA,NA
"9. Population living in households that use an improved sanitation facility2 (%)",85.6,72.3,75.7,53.8,"Jammu & Kashmir",NA,NA,NA,NA
"10. Households using clean fuel for cooking3 (%)",95.8,58.9,69.2,57.5,"Jammu & Kashmir",NA,NA,NA,NA
"11. Households using iodized salt (%)",99,97.7,98.1,95.4,"Jammu & Kashmir",NA,NA,NA,NA
"12. Households with any usual member covered under a health insurance/financing scheme (%)",19.2,10.2,12.7,4.3,"Jammu & Kashmir",NA,NA,NA,NA
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",4,0.9,1.6,NA,"Jammu & Kashmir",NA,NA,NA,NA
"14. Women who are literate4 (%)",84.3,74.7,77.3,NA,"Jammu & Kashmir",NA,NA,NA,NA
"15. Men who are literate4 (%)",91.8,91.4,91.5,NA,"Jammu & Kashmir",NA,NA,NA,NA
"16. Women with 10 or more years of schooling (%)",65.1,46.2,51.3,37.1,"Jammu & Kashmir",NA,NA,NA,NA
"17. Men with 10 or more years of schooling (%)",73.8,66,68.2,49,"Jammu & Kashmir",NA,NA,NA,NA
"18. Women who have ever used the internet (%)",55,38.9,43.3,NA,"Jammu & Kashmir",NA,NA,NA,NA
"19. Men who have ever used the internet (%)",79.4,68.8,72,NA,"Jammu & Kashmir",NA,NA,NA,NA
"20. Women age 20-24 years married before age 18 years (%)",2,5.3,4.5,8.7,"Jammu & Kashmir",NA,NA,NA,NA
"21. Men age 25-29 years married before age 21 years (%)",9.6,8.2,8.5,10.5,"Jammu & Kashmir",NA,NA,NA,NA
"22. Total fertility rate (children per woman)",1.2,1.5,1.4,2,"Jammu & Kashmir",NA,NA,NA,NA
"23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",0.5,1.1,1,3,"Jammu & Kashmir",NA,NA,NA,NA
"24. Adolescent fertility rate for women age 15-19 years5",5,10,9,19,"Jammu & Kashmir",NA,NA,NA,NA
"25. Neonatal mortality rate (NNMR)",7.5,10.5,9.8,23.1,"Jammu & Kashmir",NA,NA,NA,NA
"26. Infant mortality rate (IMR)",14.7,16.7,16.3,32.4,"Jammu & Kashmir",NA,NA,NA,NA
"27. Under-five mortality rate (U5MR)",15.7,19.4,18.5,37.6,"Jammu & Kashmir",NA,NA,NA,NA
"28. Any method6 (%)",59.2,60,59.8,57.1,"Jammu & Kashmir",NA,NA,NA,NA
"29. Any modern method6 (%)",53.5,52.1,52.5,45.8,"Jammu & Kashmir",NA,NA,NA,NA
"30. Female sterilization (%)",21.6,20.9,21.1,24.4,"Jammu & Kashmir",NA,NA,NA,NA
"31. Male sterilization (%)",0.4,0.3,0.3,0.4,"Jammu & Kashmir",NA,NA,NA,NA
"32. IUD/PPIUD (%)",7.2,5.4,5.9,2.4,"Jammu & Kashmir",NA,NA,NA,NA
"33. Pill (%)",7.7,9.5,9,6.3,"Jammu & Kashmir",NA,NA,NA,NA
"34. Condom (%)",11.6,11.7,11.7,11.3,"Jammu & Kashmir",NA,NA,NA,NA
"35. Injectables (%)",4,3.4,3.6,0.9,"Jammu & Kashmir",NA,NA,NA,NA
"36. Total unmet need7 (%)",6.1,8.4,7.8,12.4,"Jammu & Kashmir",NA,NA,NA,NA
"37. Unmet need for spacing7 (%)",3.2,4.1,3.9,5.8,"Jammu & Kashmir",NA,NA,NA,NA
"38. Health worker ever talked to female non-users about family planning (%)",11.6,10.9,11.1,9.6,"Jammu & Kashmir",NA,NA,NA,NA
"39. Current users ever told about side effects of current method8 (%)",71.5,61.5,64,38.5,"Jammu & Kashmir",NA,NA,NA,NA
"40. Mothers who had an antenatal check-up in the first trimester (%)",90,85.5,86.6,76.7,"Jammu & Kashmir",NA,NA,NA,NA
"41. Mothers who had at least 4 antenatal care visits (%)",83.1,80.2,80.9,81.2,"Jammu & Kashmir",NA,NA,NA,NA
"42. Mothers whose last birth was protected against neonatal tetanus9 (%)",94.4,91.1,91.9,87.3,"Jammu & Kashmir",NA,NA,NA,NA
"43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",34,28.5,29.8,30.2,"Jammu & Kashmir",NA,NA,NA,NA
"44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",21.6,14.1,15.9,16.7,"Jammu & Kashmir",NA,NA,NA,NA
"45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",97.3,97.3,97.3,88.7,"Jammu & Kashmir",NA,NA,NA,NA
"46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",89.4,82.6,84.2,74.7,"Jammu & Kashmir",NA,NA,NA,NA
"47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",5680,4971,5145,4225,"Jammu & Kashmir",NA,NA,NA,NA
"48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,3.5,3.3,1,"Jammu & Kashmir","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",85.6,80.2,81.5,NA,"Jammu & Kashmir",NA,NA,NA,NA
"50. Institutional births (%)",98.6,90.5,92.4,85.5,"Jammu & Kashmir",NA,NA,NA,NA
"51. Institutional births in public facility (%)",87.4,86.6,86.8,77.9,"Jammu & Kashmir",NA,NA,NA,NA
"52. Home births that were conducted by skilled health personnel10 (%)",0.6,3.8,3,2.2,"Jammu & Kashmir",NA,NA,NA,NA
"53. Births attended by skilled health personnel10 (%)",98.8,94,95.1,87.4,"Jammu & Kashmir",NA,NA,NA,NA
"54. Births delivered by caesarean section (%)",54.7,37.8,41.7,33.4,"Jammu & Kashmir",NA,NA,NA,NA
"55. Births in a private health facility that were delivered by caesarean section (%)",91,74.4,82.1,75.5,"Jammu & Kashmir",NA,NA,NA,NA
"56. Births in a public health facility that were delivered by caesarean section (%)",50.9,40.2,42.7,35.5,"Jammu & Kashmir",NA,NA,NA,NA
"57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",83,87.2,86.2,75,"Jammu & Kashmir",NA,NA,NA,NA
"58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",99.8,95.6,96.5,84.4,"Jammu & Kashmir",NA,NA,NA,NA
"59. Children age 12-23 months who have received BCG (%)",91,96.4,95.1,95.6,"Jammu & Kashmir",NA,NA,NA,NA
"60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",83,89,87.6,83.8,"Jammu & Kashmir",NA,NA,NA,NA
"61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",90,93.6,92.8,88.1,"Jammu & Kashmir",NA,NA,NA,NA
"62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",88.7,92.6,91.7,86.1,"Jammu & Kashmir",NA,NA,NA,NA
"63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",36.5,32,33.1,NA,"Jammu & Kashmir",NA,NA,NA,NA
"64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",4,5.7,5.3,NA,"Jammu & Kashmir",NA,NA,NA,NA
"65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",88,92.4,91.4,70.1,"Jammu & Kashmir",NA,NA,NA,NA
"66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",86,81.2,82.3,69.4,"Jammu & Kashmir",NA,NA,NA,NA
"67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",98.8,99.2,99.1,97.5,"Jammu & Kashmir",NA,NA,NA,NA
"68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",1.2,0.2,0.4,2.2,"Jammu & Kashmir",NA,NA,NA,NA
"69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",3.4,6.3,5.6,7.6,"Jammu & Kashmir",NA,NA,NA,NA
"70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",81.2,80.7,80.8,69.1,"Jammu & Kashmir","Based on 25-49 unweighted cases",NA,NA,NA
"71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",50.5,50.5,50.5,39.3,"Jammu & Kashmir","Based on 25-49 unweighted cases",NA,NA,NA
"72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",76.1,74.7,74.9,74.2,"Jammu & Kashmir","Based on 25-49 unweighted cases",NA,NA,NA
