"state","Indicator","Urban","Rural","Total","NFHS4","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"Haryana","121. Women owning a house and/or land (alone or jointly with others) (%)",35.7,41,39.3,35.8,"","","",""
"Haryana","122. Women having a bank or savings account that they themselves use (%)",76.3,72.4,73.6,45.6,"","","",""
"Haryana","123. Women having a mobile phone that they themselves use (%)",65.1,43.4,50.4,50.5,"","","",""
"Haryana","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",96.7,91.6,93.2,78.3,"","","",""
"Haryana","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",18,18.2,18.2,32,"","","",""
"Haryana","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",2.5,1.2,1.6,4.9,"","","",""
"Haryana","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",0.2,0.5,0.4,1.5,"","","",""
"Haryana","128. Women age 15 years and above who use any kind of tobacco (%)",1.7,3,2.5,NA,"","","",""
"Haryana","129. Men age 15 years and above who use any kind of tobacco (%)",23.3,32.1,29.1,NA,"","","",""
"Haryana","130. Women age 15 years and above who consume alcohol (%)",0.3,0.2,0.3,NA,"","","",""
"Haryana","131. Men age 15 years and above who consume alcohol (%)",15.7,16.2,16.1,NA,"","","",""
"Jharkhand","1. Female population age 6 years and above who ever attended school (%)",78.7,60.2,64.5,61.1,"","","",""
"Jharkhand","2. Population below age 15 years (%)",25.2,33.2,31.3,32.9,"","","",""
"Jharkhand","3. Sex ratio of the total population (females per 1,000 males)",989,1070,1050,1002,"","","",""
"Jharkhand","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",781,926,899,919,"","","",""
"Jharkhand","5. Children under age 5 years whose birth was registered with the civil authority (%)",83.8,71.4,73.5,65,"","","",""
"Jharkhand","6. Deaths in the last 3 years registered with the civil authority (%)",56.2,36.1,40.4,NA,"","","",""
"Jharkhand","7. Population living in households with electricity (%)",99,92.9,94.3,81.2,"","","",""
"Jharkhand","8. Population living in households with an improved drinking-water source1 (%)",94.6,84.1,86.6,78.1,"","","",""
"Jharkhand","9. Population living in households that use an improved sanitation facility2 (%)",75.9,50.8,56.7,25,"","","",""
"Jharkhand","10. Households using clean fuel for cooking3 (%)",71,19.5,31.9,18.9,"","","",""
"Jharkhand","11. Households using iodized salt (%)",98.4,97.4,97.7,97.6,"","","",""
"Jharkhand","12. Households with any usual member covered under a health insurance/financing scheme (%)",41.6,53.1,50.3,13.3,"","","",""
"Jharkhand","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",15.2,7.6,9,NA,"","","",""
"Jharkhand","14. Women who are literate4 (%)",80.1,55.6,61.7,NA,"","","",""
"Jharkhand","15. Men who are literate4 (%)",92,77.4,81.3,NA,"","","",""
"Jharkhand","16. Women with 10 or more years of schooling (%)",54.4,26.3,33.2,28.7,"","","",""
"Jharkhand","17. Men with 10 or more years of schooling (%)",66.2,39.4,46.6,40.2,"","","",""
"Jharkhand","18. Women who have ever used the internet (%)",57.8,22.7,31.4,NA,"","","",""
"Jharkhand","19. Men who have ever used the internet (%)",70.8,53.2,58,NA,"","","",""
"Jharkhand","20. Women age 20-24 years married before age 18 years (%)",19.4,36.1,32.2,37.9,"","","",""
"Jharkhand","21. Men age 25-29 years married before age 21 years (%)",10.2,26.9,22.7,30.5,"","","",""
"Jharkhand","22. Total fertility rate (children per woman)",1.6,2.5,2.3,2.6,"","","",""
"Jharkhand","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",5.2,11.2,9.8,12,"","","",""
"Jharkhand","24. Adolescent fertility rate for women age 15-19 years5",34,73,64,77,"","","",""
"Jharkhand","25. Neonatal mortality rate (NNMR)",17.7,30.4,28.2,33,"","","",""
"Jharkhand","26. Infant mortality rate (IMR)",22.2,41.1,37.9,43.8,"","","",""
"Jharkhand","27. Under-five mortality rate (U5MR)",27.3,49.2,45.4,54.3,"","","",""
"Jharkhand","28. Any method6 (%)",66,60.4,61.7,40.4,"","","",""
"Jharkhand","29. Any modern method6 (%)",51.4,48.9,49.5,37.5,"","","",""
"Jharkhand","30. Female sterilization (%)",37.3,37.4,37.4,31.1,"","","",""
"Jharkhand","31. Male sterilization (%)",0.4,0.2,0.3,0.2,"","","",""
"Jharkhand","32. IUD/PPIUD (%)",2.1,1.6,1.7,1,"","","",""
"Jharkhand","33. Pill (%)",3.1,3.1,3.1,2.6,"","","",""
"Jharkhand","34. Condom (%)",6,3.5,4.1,2.2,"","","",""
"Jharkhand","35. Injectables (%)",0.5,0.5,0.5,0.2,"","","",""
"Jharkhand","36. Total unmet need7 (%)",11.2,11.6,11.5,18.4,"","","",""
"Jharkhand","37. Unmet need for spacing7 (%)",4.7,4.8,4.8,9,"","","",""
"Jharkhand","38. Health worker ever talked to female non-users about family planning (%)",27.9,29.5,29.1,19.6,"","","",""
"Jharkhand","39. Current users ever told about side effects of current method8 (%)",52.8,50.6,51.1,39.4,"","","",""
"Jharkhand","40. Mothers who had an antenatal check-up in the first trimester (%)",76.2,66.2,68,52,"","","",""
"Jharkhand","41. Mothers who had at least 4 antenatal care visits (%)",48.5,36.4,38.6,30.3,"","","",""
"Jharkhand","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",90.8,90.8,90.8,91.7,"","","",""
"Jharkhand","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",37.7,26.1,28.2,15.3,"","","",""
"Jharkhand","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",22.3,13.2,14.9,4.2,"","","",""
"Jharkhand","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",87.7,92.3,91.5,86.9,"","","",""
"Jharkhand","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",79.8,66.7,69.1,44.4,"","","",""
"Jharkhand","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",2584,1980,2069,1476,"","","",""
"Jharkhand","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",2.2,3.5,3.4,2.2,"","","",""
"Jharkhand","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",80.6,66.1,68.7,NA,"","","",""
"Jharkhand","50. Institutional births (%)",89.1,73.1,75.8,61.9,"","","",""
"Jharkhand","51. Institutional births in public facility (%)",47.3,58.8,56.8,41.8,"","","",""
"Jharkhand","52. Home births that were conducted by skilled health personnel10 (%)",4.2,9.3,8.4,8,"","","",""
"Jharkhand","53. Births attended by skilled health personnel10 (%)",92.6,80.5,82.5,69.6,"","","",""
"Jharkhand","54. Births delivered by caesarean section (%)",25.8,10.2,12.8,9.9,"","","",""
"Jharkhand","55. Births in a private health facility that were delivered by caesarean section (%)",47.7,46.1,46.7,39.5,"","","",""
"Jharkhand","56. Births in a public health facility that were delivered by caesarean section (%)",12.4,6.1,7,4.6,"","","",""
"Jharkhand","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",67.8,75.1,73.9,61.9,"","","",""
"Jharkhand","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",74.6,80.1,79.2,72.7,"","","",""
"Jharkhand","59. Children age 12-23 months who have received BCG (%)",93,95.4,95,95.8,"","","",""
"Jharkhand","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",71.2,77.8,76.8,73.8,"","","",""
"Jharkhand","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",79.8,86.7,85.6,82.4,"","","",""
"Jharkhand","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",81,87.8,86.7,82.6,"","","",""
"Jharkhand","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",29.7,32.8,32.3,NA,"","","",""
"Jharkhand","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",65.2,76.4,74.6,NA,"","","",""
"Jharkhand","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",80.6,85.2,84.4,56.4,"","","",""
"Jharkhand","66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",72.5,70.6,70.9,56.6,"","","",""
"Jharkhand","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",89.1,98,96.5,95.3,"","","",""
"Jharkhand","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",10.9,1.4,2.9,4.6,"","","",""
"Jharkhand","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",6.5,7.3,7.2,6.9,"","","",""
"Jharkhand","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",55.2,55.7,55.6,44.8,"","","",""
"Jharkhand","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",42.2,26.4,28.9,19.1,"","","",""
"Jharkhand","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",66.9,58.3,59.7,56.7,"","","",""
"Jharkhand","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",1.6,2.2,2.1,3.2,"","","",""
"Jharkhand","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",68.4,58.2,59.8,67.2,"","","",""
"Jharkhand","75. Children under age 3 years breastfed within one hour of birth15 (%)",22.5,21.3,21.5,33.1,"","","",""
"Jharkhand","76. Children under age 6 months exclusively breastfed16 (%)",61.6,78.6,76.1,64.8,"","","",""
"Jharkhand","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",33.5,39.9,38.8,47.2,"","","",""
"Jharkhand","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",10.6,9.9,10,7.2,"","","",""
"Jharkhand","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",7.3,18.6,16.3,7.1,"Based on 25-49 unweighted cases","","",""
"Jharkhand","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",10.3,10.5,10.5,7.2,"","","",""
"Jharkhand","81. Children under 5 years who are stunted (height-for-age)18 (%)",26.8,42.3,39.6,45.3,"","","",""
"Jharkhand","82. Children under 5 years who are wasted (weight-for-height)18 (%)",23,22.3,22.4,29,"","","",""
"Jharkhand","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",10.7,8.8,9.1,11.4,"","","",""
"Jharkhand","84. Children under 5 years who are underweight (weight-for-age)18 (%)",30,41.4,39.4,47.8,"","","",""
"Jharkhand","85. Children under 5 years who are overweight (weight-for-height)20 (%)",2.8,2.8,2.8,1.5,"","","",""
"Jharkhand","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",17.3,29.2,26.2,31.5,"","","",""
"Jharkhand","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",12.1,18.9,17.1,23.8,"","","",""
"Jharkhand","88. Women who are overweight or obese (BMI >25.0 kg/m2)21 (%)",21.6,8.6,11.9,10.3,"","","",""
"Jharkhand","89. Men who are overweight or obese (BMI >25.0 kg/m2) (%)",21.7,12.8,15.1,11.1,"","","",""
"Jharkhand","90. Women who have high risk waist-to-hip ratio (>0.85) (%)",66.4,56.2,58.7,NA,"","","",""
"Jharkhand","91. Men who have high risk waist-to-hip ratio (>0.90) (%)",53.6,44,46.5,NA,"","","",""
"Jharkhand","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",65.5,67.9,67.5,69.9,"","","",""
"Jharkhand","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",61.6,67,65.7,65.3,"","","",""
"Jharkhand","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",45.5,59.2,56.8,62.6,"","","",""
"Jharkhand","95. All women age 15-49 years who are anaemic22 (%)",61.1,66.7,65.3,65.2,"","","",""
"Jharkhand","96. All women age 15-19 years who are anaemic22 (%)",63.2,66.5,65.8,65,"","","",""
"Jharkhand","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",27.1,30.5,29.6,29.8,"","","",""
"Jharkhand","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",39,39.9,39.7,35.3,"","","",""
"Jharkhand","99. Blood sugar level - high (141-160 mg/dl)23 (%)",5.8,5.2,5.4,NA,"","","",""
"Jharkhand","100. Blood sugar level - very high (>160 mg/dl)23 (%)",5.6,3.7,4.2,NA,"","","",""
"Jharkhand","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",12.5,9.5,10.2,NA,"","","",""
"Jharkhand","102. Blood sugar level - high (141-160 mg/dl)23 (%)",6.9,6.9,6.9,NA,"","","",""
"Jharkhand","103. Blood sugar level - very high (>160 mg/dl)23 (%)",7.9,5.9,6.4,NA,"","","",""
"Jharkhand","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",15.8,13.4,14.1,NA,"","","",""
"Jharkhand","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",13,10.5,11.1,NA,"","","",""
"Jharkhand","106. Moderately or severely elevated blood pressure (Systolic >160 mm of Hg and/or Diastolic >100 mm of Hg) (%)",4.7,5.1,5,NA,"","","",""
"Jharkhand","107. Elevated blood pressure (Systolic >140 mm of Hg and/or Diastolic >90 mm of Hg) or taking medicine to control blood pressure (%)",20.1,17,17.8,NA,"","","",""
"Jharkhand","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",16.3,14.6,15.1,NA,"","","",""
"Jharkhand","109. Moderately or severely elevated blood pressure (Systolic >160 mm of Hg and/or Diastolic >100 mm of Hg) (%)",6.5,6,6.1,NA,"","","",""
"Jharkhand","110. Elevated blood pressure (Systolic >140 mm of Hg and/or Diastolic >90 mm of Hg) or taking medicine to control blood pressure (%)",25.3,21.6,22.6,NA,"","","",""
"Jharkhand","111. Ever undergone a screening test for cervical cancer (%)",0.4,0.5,0.5,NA,"","","",""
"Jharkhand","112. Ever undergone a breast examination for breast cancer (%)",0.1,0.1,0.1,NA,"","","",""
"Jharkhand","113. Ever undergone an oral cavity examination for oral cancer (%)",0.2,0.2,0.2,NA,"","","",""
"Jharkhand","114. Ever undergone an oral cavity examination for oral cancer (%)",0.1,0.5,0.4,NA,"","","",""
"Jharkhand","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",21.7,11.2,13.8,15.8,"","","",""
"Jharkhand","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",39.4,28.1,31.2,18,"","","",""
"Jharkhand","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",76.1,62.5,65.9,45.5,"","","",""
"Jharkhand","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",90.7,76.8,80.6,67.8,"","","",""
"Jharkhand","119. Currently married women who usually participate in three household decisions25 (%)",94.6,89.8,91,86.6,"","","",""
"Jharkhand","120. Women who worked in the last 12 months and were paid in cash (%)",18.8,17.7,18,24.8,"","","",""
"Jharkhand","121. Women owning a house and/or land (alone or jointly with others) (%)",57.4,66.5,64.2,49.7,"","","",""
"Jharkhand","122. Women having a bank or savings account that they themselves use (%)",79.2,79.8,79.6,45.1,"","","",""
"Jharkhand","123. Women having a mobile phone that they themselves use (%)",65.2,43.7,49,35.2,"","","",""
"Jharkhand","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",88.2,70.8,74.9,49.6,"","","",""
"Jharkhand","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",25.3,33.4,31.5,34,"","","",""
"Jharkhand","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",2.1,3.4,3.1,2.8,"","","",""
"Jharkhand","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",0.5,1.5,1.3,2.1,"","","",""
"Jharkhand","128. Women age 15 years and above who use any kind of tobacco (%)",4.8,9.6,8.4,NA,"","","",""
"Jharkhand","129. Men age 15 years and above who use any kind of tobacco (%)",37.2,51,47.4,NA,"","","",""
"Jharkhand","130. Women age 15 years and above who consume alcohol (%)",2,7.4,6.1,NA,"","","",""
"Jharkhand","131. Men age 15 years and above who consume alcohol (%)",24.6,38.7,35,NA,"","","",""
"Madhya Pradesh","1. Female population age 6 years and above who ever attended school (%)",80.5,62.6,67.5,64,"","","",""
"Madhya Pradesh","2. Population below age 15 years (%)",23.9,27.5,26.5,30.3,"","","",""
"Madhya Pradesh","3. Sex ratio of the total population (females per 1,000 males)",953,976,970,948,"","","",""
"Madhya Pradesh","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",948,959,956,927,"","","",""
"Madhya Pradesh","5. Children under age 5 years whose birth was registered with the civil authority (%)",95.5,93.7,94.1,81.9,"","","",""
"Madhya Pradesh","6. Deaths in the last 3 years registered with the civil authority (%)",85.1,70.5,74.3,NA,"","","",""
"Madhya Pradesh","7. Population living in households with electricity (%)",99.4,98,98.4,90.9,"","","",""
"Madhya Pradesh","8. Population living in households with an improved drinking-water source1 (%)",97.9,85.7,89,85.2,"","","",""
"Madhya Pradesh","9. Population living in households that use an improved sanitation facility2 (%)",81.2,59.2,65.1,34.8,"","","",""
"Madhya Pradesh","10. Households using clean fuel for cooking3 (%)",84.3,23.6,40.1,29.6,"","","",""
"Madhya Pradesh","11. Households using iodized salt (%)",97.5,94.4,95.3,93.2,"","","",""
"Madhya Pradesh","12. Households with any usual member covered under a health insurance/financing scheme (%)",41.4,36.8,38.1,17.7,"","","",""
"Madhya Pradesh","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",15.2,9,10.5,NA,"","","",""
"Madhya Pradesh","14. Women who are literate4 (%)",81.5,59.2,65.4,NA,"","","",""
"Madhya Pradesh","15. Men who are literate4 (%)",88.3,78.7,81.3,NA,"","","",""
"Madhya Pradesh","16. Women with 10 or more years of schooling (%)",49.1,21.7,29.3,23.2,"","","",""
"Madhya Pradesh","17. Men with 10 or more years of schooling (%)",53.1,35,39.9,34.3,"","","",""
"Madhya Pradesh","18. Women who have ever used the internet (%)",46.5,20.1,26.9,NA,"","","",""
"Madhya Pradesh","19. Men who have ever used the internet (%)",72.7,49.3,55.7,NA,"","","",""
"Madhya Pradesh","20. Women age 20-24 years married before age 18 years (%)",13,26.6,23.1,32.4,"","","",""
"Madhya Pradesh","21. Men age 25-29 years married before age 21 years (%)",15.8,35.1,30.1,31.2,"","","",""
"Madhya Pradesh","22. Total fertility rate (children per woman)",1.6,2.1,2,2.3,"","","",""
"Madhya Pradesh","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",2.5,5.9,5.1,7.3,"","","",""
"Madhya Pradesh","24. Adolescent fertility rate for women age 15-19 years5",19,43,37,53,"","","",""
"Madhya Pradesh","25. Neonatal mortality rate (NNMR)",24,30.4,29,36.9,"","","",""
"Madhya Pradesh","26. Infant mortality rate (IMR)",33.9,43.5,41.3,51.2,"","","",""
"Madhya Pradesh","27. Under-five mortality rate (U5MR)",38.2,52.5,49.2,64.6,"","","",""
"Madhya Pradesh","28. Any method6 (%)",71.4,71.9,71.7,51.4,"","","",""
"Madhya Pradesh","29. Any modern method6 (%)",63.8,66.1,65.5,49.6,"","","",""
"Madhya Pradesh","30. Female sterilization (%)",41.5,55.7,51.9,42.2,"","","",""
"Madhya Pradesh","31. Male sterilization (%)",0.8,0.7,0.7,0.5,"","","",""
"Madhya Pradesh","32. IUD/PPIUD (%)",1.4,0.9,1.1,0.5,"","","",""
"Madhya Pradesh","33. Pill (%)",2.6,1.7,1.9,1.3,"","","",""
"Madhya Pradesh","34. Condom (%)",15.8,5.3,8.1,4.9,"","","",""
"Madhya Pradesh","35. Injectables (%)",0.6,0.3,0.4,0.1,"","","",""
"Madhya Pradesh","36. Total unmet need7 (%)",8.4,7.4,7.7,12.1,"","","",""
"Madhya Pradesh","37. Unmet need for spacing7 (%)",3.9,3.8,3.9,5.7,"","","",""
"Madhya Pradesh","38. Health worker ever talked to female non-users about family planning (%)",26.9,28.7,28.2,20.4,"","","",""
"Madhya Pradesh","39. Current users ever told about side effects of current method8 (%)",77.2,67.9,69.9,39.3,"","","",""
"Madhya Pradesh","40. Mothers who had an antenatal check-up in the first trimester (%)",78.4,74.4,75.4,53,"","","",""
"Madhya Pradesh","41. Mothers who had at least 4 antenatal care visits (%)",63.3,55.6,57.5,35.7,"","","",""
"Madhya Pradesh","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",96.4,94.5,95,89.8,"","","",""
"Madhya Pradesh","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",58.6,49.1,51.4,23.5,"","","",""
"Madhya Pradesh","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",36.6,30.3,31.8,9.2,"","","",""
"Madhya Pradesh","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",94.5,97.4,96.7,92.2,"","","",""
"Madhya Pradesh","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",87.6,82.2,83.5,54.9,"","","",""
"Madhya Pradesh","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",1969,1523,1619,1481,"","","",""
"Madhya Pradesh","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",11.4,9.2,9.4,2.5,"","","",""
"Madhya Pradesh","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",89,82.3,83.9,NA,"","","",""
"Madhya Pradesh","50. Institutional births (%)",95.8,89.2,90.7,80.8,"","","",""
"Madhya Pradesh","51. Institutional births in public facility (%)",71.9,82.6,80.2,69.4,"","","",""
"Madhya Pradesh","52. Home births that were conducted by skilled health personnel10 (%)",1.2,2.9,2.5,2.3,"","","",""
"Madhya Pradesh","53. Births attended by skilled health personnel10 (%)",92.5,88.4,89.3,78,"","","",""
"Madhya Pradesh","54. Births delivered by caesarean section (%)",23.3,8.8,12.1,8.6,"","","",""
"Madhya Pradesh","55. Births in a private health facility that were delivered by caesarean section (%)",51.4,53.2,52.3,40.8,"","","",""
"Madhya Pradesh","56. Births in a public health facility that were delivered by caesarean section (%)",15.3,6.5,8.2,5.8,"","","",""
"Madhya Pradesh","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",76.5,77.3,77.1,53.6,"","","",""
"Madhya Pradesh","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",83.5,83.2,83.3,76.3,"","","",""
"Madhya Pradesh","59. Children age 12-23 months who have received BCG (%)",95.3,95.4,95.4,91.6,"","","",""
"Madhya Pradesh","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",81,81.5,81.4,63.6,"","","",""
"Madhya Pradesh","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",89.3,86.9,87.4,73.4,"","","",""
"Madhya Pradesh","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",89.1,87.7,88,79.6,"","","",""
"Madhya Pradesh","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",32.7,35.9,35.2,NA,"","","",""
"Madhya Pradesh","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",73.5,70.1,70.9,NA,"","","",""
"Madhya Pradesh","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",86.2,84.7,85,56.3,"","","",""
"Madhya Pradesh","66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",78.4,77.9,78.1,66.2,"","","",""
"Madhya Pradesh","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",95.1,99.3,98.4,95.7,"","","",""
"Madhya Pradesh","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",4.4,0.3,1.2,3.7,"","","",""
"Madhya Pradesh","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",7.2,6.2,6.4,9.5,"","","",""
"Madhya Pradesh","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",67.6,64.4,65.2,55.2,"","","",""
"Madhya Pradesh","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",36.9,35.1,35.6,26.6,"","","",""
"Madhya Pradesh","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",68.6,64.6,65.6,68.2,"","","",""
"Madhya Pradesh","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",3.2,2.5,2.6,2.1,"","","",""
"Madhya Pradesh","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",69.6,62.4,64.3,70.9,"","","",""
"Madhya Pradesh","75. Children under age 3 years breastfed within one hour of birth15 (%)",36.2,42.8,41.3,34.4,"","","",""
"Madhya Pradesh","76. Children under age 6 months exclusively breastfed16 (%)",68.8,75.2,74,58.2,"","","",""
"Madhya Pradesh","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",42.7,38.5,39.5,38.1,"","","",""
"Madhya Pradesh","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",11.2,8.9,9.4,6.9,"","","",""
"Madhya Pradesh","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",7.7,7.6,7.7,4.9,"","","",""
"Madhya Pradesh","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",10.6,8.7,9.2,6.6,"","","",""
"Madhya Pradesh","81. Children under 5 years who are stunted (height-for-age)18 (%)",30.1,37.3,35.7,42,"","","",""
"Madhya Pradesh","82. Children under 5 years who are wasted (weight-for-height)18 (%)",19.9,18.7,19,25.8,"","","",""
"Madhya Pradesh","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",7,6.3,6.5,9.2,"","","",""
"Madhya Pradesh","84. Children under 5 years who are underweight (weight-for-age)18 (%)",28.6,34.2,33,42.8,"","","",""
"Madhya Pradesh","85. Children under 5 years who are overweight (weight-for-height)20 (%)",1.8,2.1,2,1.7,"","","",""
"Madhya Pradesh","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",17.1,25.2,23,28.4,"","","",""
"Madhya Pradesh","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",17.7,21.8,20.8,28.4,"","","",""
"Madhya Pradesh","88. Women who are overweight or obese (BMI >25.0 kg/m2)21 (%)",26,13,16.6,13.6,"","","",""
"Madhya Pradesh","89. Men who are overweight or obese (BMI >25.0 kg/m2) (%)",25.7,12.1,15.6,10.9,"","","",""
"Madhya Pradesh","90. Women who have high risk waist-to-hip ratio (>0.85) (%)",42,39.9,40.5,NA,"","","",""
"Madhya Pradesh","91. Men who have high risk waist-to-hip ratio (>0.90) (%)",39.8,38.8,39.1,NA,"","","",""
"Madhya Pradesh","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",72.5,72.7,72.7,68.9,"","","",""
"Madhya Pradesh","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",51.7,55.9,54.7,52.4,"","","",""
"Madhya Pradesh","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",45.1,54.9,52.9,54.6,"","","",""
"Madhya Pradesh","95. All women age 15-49 years who are anaemic22 (%)",51.5,55.8,54.7,52.5,"","","",""
"Madhya Pradesh","96. All women age 15-19 years who are anaemic22 (%)",57.4,58.3,58.1,53.2,"","","",""
"Madhya Pradesh","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",21,22.9,22.4,25.5,"","","",""
"Madhya Pradesh","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",31,30.3,30.5,36.5,"","","",""
